Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,CQI,LTERSSI,ARFCN,DL+AF8-bitrate,UL+AF8-bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test+AF8-Status,DataConnection+AF8-Type,DataConnection+AF8-Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION+AF8-NAME,VERSION+AF8-CODE,DEVICE,BAND,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,geometry
2019+AC0-11+AC0-22 12:02:32,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-98,+AC0-18,2.4,+AC0-,+AC0-67,900,16349,8484,54,64,64,6,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,35,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-93,+AC0-11,,,4G,,,,111.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-96,+AC0-15,,,4G,,,,9.0,900.0,+AC0-100,+AC0-17,,,4G,,,,17.0,900.0,+AC0-102,+AC0-19,,,4G,,,,17.0,5145.0,+AC0-102,+AC0-19,,,4G,,,,493.0,900.0,+AC0-103,+AC0-20,,,4G,,,,54.0,5145.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:33,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-98,+AC0-18,2.4,+AC0-,+AC0-67,900,79385,182,54,64,64,7,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,36,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-93,+AC0-11,,,4G,,,,111.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-96,+AC0-15,,,4G,,,,9.0,900.0,+AC0-100,+AC0-17,,,4G,,,,17.0,900.0,+AC0-102,+AC0-19,,,4G,,,,17.0,5145.0,+AC0-102,+AC0-19,,,4G,,,,493.0,900.0,+AC0-103,+AC0-20,,,4G,,,,54.0,5145.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:33,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-98,+AC0-18,2.4,+AC0-,+AC0-67,900,79385,182,54,64,64,7,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,DOWNLOAD ERROR,,,,36,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-93,+AC0-11,,,4G,,,,111.0,66811.0,+AC0-95,+AC0-17,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-96,+AC0-15,,,4G,,,,9.0,900.0,+AC0-100,+AC0-17,,,4G,,,,17.0,900.0,+AC0-102,+AC0-19,,,4G,,,,17.0,5145.0,+AC0-102,+AC0-19,,,4G,,,,493.0,900.0,+AC0-103,+AC0-20,,,4G,,,,54.0,5145.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:34,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-100,+AC0-18,2.4,+AC0-,+AC0-67,900,7947,8487,54,64,64,7,G,D,,,,,,46347.0,4332.0,46660.0,4342.0,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,UL/DL TEST,,,,37,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,77.0,66811.0,+AC0-92,+AC0-13,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,9.0,5145.0,+AC0-96,+AC0-13,,,4G,,,,111.0,66811.0,+AC0-99,+AC0-16,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,54.0,5145.0,+AC0-99,+AC0-15,,,4G,,,,17.0,5145.0,+AC0-101,+AC0-18,,,4G,,,,9.0,900.0,+AC0-102,+AC0-15,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:34,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-100,+AC0-18,2.4,+AC0-,+AC0-67,900,7947,8487,54,64,64,7,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,DATA TEST SEQUENCE,,,,37,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,77.0,66811.0,+AC0-92,+AC0-13,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,9.0,5145.0,+AC0-96,+AC0-13,,,4G,,,,111.0,66811.0,+AC0-99,+AC0-16,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,54.0,5145.0,+AC0-99,+AC0-15,,,4G,,,,17.0,5145.0,+AC0-101,+AC0-18,,,4G,,,,9.0,900.0,+AC0-102,+AC0-15,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:34,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-100,+AC0-18,2.2,+AC0-,+AC0-67,900,7947,8487,54,64,64,7,G,D,,,,,,,,,,PING,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,37,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,77.0,66811.0,+AC0-92,+AC0-13,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,9.0,5145.0,+AC0-96,+AC0-13,,,4G,,,,111.0,66811.0,+AC0-99,+AC0-16,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,54.0,5145.0,+AC0-99,+AC0-15,,,4G,,,,17.0,5145.0,+AC0-101,+AC0-18,,,4G,,,,9.0,900.0,+AC0-102,+AC0-15,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:35,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-100,+AC0-18,1.4,+AC0-,+AC0-71,900,0,0,54,64,64,7,G,D,163.0,163.0,163.0,0.0,0.0,,,,,PING,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,PING TEST,,,,38,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,77.0,66811.0,+AC0-92,+AC0-13,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,9.0,5145.0,+AC0-96,+AC0-13,,,4G,,,,111.0,66811.0,+AC0-99,+AC0-16,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,54.0,5145.0,+AC0-99,+AC0-15,,,4G,,,,17.0,5145.0,+AC0-101,+AC0-18,,,4G,,,,9.0,900.0,+AC0-102,+AC0-15,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:35,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-100,+AC0-18,1.4,+AC0-,+AC0-71,900,0,0,54,64,64,8,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,38,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,77.0,66811.0,+AC0-92,+AC0-13,,,4G,,,,9.0,66811.0,+AC0-96,+AC0-17,,,4G,,,,9.0,5145.0,+AC0-96,+AC0-13,,,4G,,,,111.0,66811.0,+AC0-99,+AC0-16,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-17,,,4G,,,,54.0,5145.0,+AC0-99,+AC0-15,,,4G,,,,17.0,5145.0,+AC0-101,+AC0-18,,,4G,,,,9.0,900.0,+AC0-102,+AC0-15,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:36,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-99,+AC0-20,1.4,+AC0-,+AC0-75,900,10041,8523,54,62,62,8,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,39,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,900.0,+AC0-101,+AC0-14,,,4G,,,,111.0,66811.0,+AC0-101,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-101,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-101,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-16,,,4G,,,,17.0,900.0,+AC0-102,+AC0-18,,,4G,,,,9.0,5145.0,+AC0-102,+AC0-11,,,4G,,,,197.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,54.0,5145.0,+AC0-106,+AC0-17,,,4G,,,,17.0,5145.0,+AC0-109,+AC0-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:37,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-99,+AC0-20,1.4,+AC0-,+AC0-75,900,70565,131,54,63,63,8,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,2.0,,,,,40,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,900.0,+AC0-101,+AC0-14,,,4G,,,,111.0,66811.0,+AC0-101,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-101,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-101,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-101,+AC0-16,,,4G,,,,17.0,900.0,+AC0-102,+AC0-18,,,4G,,,,9.0,5145.0,+AC0-102,+AC0-11,,,4G,,,,197.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,54.0,5145.0,+AC0-106,+AC0-17,,,4G,,,,17.0,5145.0,+AC0-109,+AC0-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:38,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-101,+AC0-15,1.4,+AC0-,+AC0-69,900,11734,8412,9,63,63,8,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,,HANDOVER+AF8-DATA+AF8-4G4G,302+AC0-610+AC0-56009+AC0-540105+AC0-44+AC0-900+AC0-54:302+AC0-610+AC0-56009+AC0-540104+AC0-41+AC0-900+AC0-9,,,40,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-10,,,4G,,,,54.0,5145.0,+AC0-100,+AC0-14,,,4G,,,,9.0,66811.0,+AC0-101,+AC0-15,,,4G,,,,111.0,66811.0,+AC0-103,+AC0-15,,,4G,,,,54.0,900.0,+AC0-104,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-17,,,4G,,,,17.0,5145.0,+AC0-105,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-106,+AC0-19,,,4G,,,,17.0,900.0,+AC0-108,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:38,+AC0-76.49146,44.232057,0,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-101,+AC0-15,1.4,+AC0-,+AC0-69,900,11734,8412,9,63,63,9,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,,,,,,1,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-10,,,4G,,,,54.0,5145.0,+AC0-100,+AC0-14,,,4G,,,,9.0,66811.0,+AC0-101,+AC0-15,,,4G,,,,111.0,66811.0,+AC0-103,+AC0-15,,,4G,,,,54.0,900.0,+AC0-104,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-17,,,4G,,,,17.0,5145.0,+AC0-105,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-106,+AC0-19,,,4G,,,,17.0,900.0,+AC0-108,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232057)
2019+AC0-11+AC0-22 12:02:39,+AC0-76.49146,44.232056,0,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-101,+AC0-15,1.4,+AC0-,+AC0-69,900,46026,185,9,63,63,9,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,,,,,2,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-10,,,4G,,,,54.0,5145.0,+AC0-100,+AC0-14,,,4G,,,,9.0,66811.0,+AC0-101,+AC0-15,,,4G,,,,111.0,66811.0,+AC0-103,+AC0-15,,,4G,,,,54.0,900.0,+AC0-104,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-17,,,4G,,,,17.0,5145.0,+AC0-105,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-106,+AC0-19,,,4G,,,,17.0,900.0,+AC0-108,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49146 44.232056)
2019+AC0-11+AC0-22 12:02:40,+AC0-76.49159,44.232064,20,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-103,+AC0-17,1.4,+AC0-,+AC0-69,900,26671,5339,9,63,63,10,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,,,,,3,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49159 44.232064)
2019+AC0-11+AC0-22 12:02:41,+AC0-76.49159,44.232064,20,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-103,+AC0-17,2.4,+AC0-,+AC0-70,900,13929,2247,9,63,63,10,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,DOWNLOAD ERROR,,,,4,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49159 44.232064)
2019+AC0-11+AC0-22 12:02:41,+AC0-76.49166,44.232074,21,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-103,+AC0-17,2.4,+AC0-,+AC0-70,900,13929,2247,9,61,61,11,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,,,,,4,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49166 44.232074)
2019+AC0-11+AC0-22 12:02:42,+AC0-76.49166,44.232074,21,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-103,+AC0-17,2.4,+AC0-,+AC0-70,900,13929,2247,9,61,61,11,G,D,,,,,,27909.0,4342.0,37832.0,4347.0,,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,UL/DL TEST,,,,4,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49166 44.232074)
2019+AC0-11+AC0-22 12:02:42,+AC0-76.49166,44.232074,21,TELUS,302610,3026105600900041,,540104,41,56009,4G,LTE,+AC0-103,+AC0-17,2.4,+AC0-,+AC0-70,900,13929,2247,9,61,61,11,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,DATA TEST SEQUENCE,,,,4,29,83DC8,DAC9,138266665,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49166 44.232074)
2019+AC0-11+AC0-22 12:02:42,+AC0-76.49183,44.232040000000005,25,TELUS,302610,3026105600900044,,540105,44,56009,4G,LTE,+AC0-101,+AC0-17,2.4,+AC0-,+AC0-70,900,20152,64,54,61,61,10,G,D,,,,,,,,,,PING,M,13,1,,,+AC0-1,1000,25.115.144.209,1.0,,,,,4,2C,83DC9,DAC9,138266924,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L2,,,,4G,,,,9.0,5145.0,+AC0-97,+AC0-9,,,4G,,,,111.0,66811.0,+AC0-98,+AC0-14,,,4G,,,,17.0,66811.0,+AC0-100,+AC0-16,,,4G,,,,54.0,5145.0,+AC0-102,+AC0-18,,,4G,,,,9.0,66811.0,+AC0-103,+AC0-19,,,4G,,,,389.0,66811.0,+AC0-104,+AC0-19,,,4G,,,,77.0,66811.0,+AC0-104,+AC0-18,,,4G,,,,17.0,5145.0,+AC0-104,+AC0-20,,,4G,,,,17.0,900.0,+AC0-106,+AC0-19,,,4G,,,,54.0,900.0,+AC0-107,+AC0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49183000000001 44.23204)
